Job,Hours_Class,Hours_Studying,Life_Factor,Sleep_Hours,Work_Hours,Parent_Guardian,Burnout_Scale
Yes,16,10,relationship stress,7,15,Yes,3
Yes,18,12,part-time job stress,5,22,Yes,4
No,20,14,academic pressure,6,0,No,4
Yes,14,6,financial stress,7,12,Yes,2
Yes,12,5,none,8,10,Yes,2
No,16,9,homesickness,7,0,Yes,2
Yes,18,13,family issues,5,24,Yes,4
Yes,20,10,health problems,6,20,No,3
No,22,12,academic pressure,5,0,Yes,5
Yes,15,8,relationship stress,6,18,Yes,3
Yes,18,14,financial stress,4,25,Yes,5
No,12,7,none,9,0,Yes,1
Yes,14,9,family issues,6,12,No,2
Yes,20,12,heavy workload,5,22,Yes,4
No,16,8,homesickness,8,0,Yes,2
Yes,22,15,financial stress,4,30,Yes,5
Yes,18,10,relationship stress,5,20,No,3
No,14,6,none,8,0,Yes,1
Yes,12,7,homesickness,7,15,Yes,2
Yes,16,11,academic pressure,5,20,Yes,4
No,20,13,family issues,6,0,Yes,3
Yes,18,14,financial stress,4,25,Yes,5
Yes,15,9,relationship stress,7,18,No,3
No,12,5,none,8,0,Yes,1
Yes,22,16,health problems,5,28,Yes,5
Yes,20,12,academic pressure,6,22,Yes,4
No,14,7,homesickness,7,0,Yes,2
Yes,18,11,financial stress,5,20,No,4
Yes,16,9,family issues,6,15,Yes,3
No,10,4,none,9,0,Yes,1
Yes,12,6,relationship stress,7,12,Yes,2
Yes,20,14,heavy workload,5,25,Yes,5
No,18,8,academic pressure,6,0,Yes,3
Yes,22,12,financial stress,4,30,No,5
Yes,14,9,homesickness,7,15,Yes,3
No,16,10,none,8,0,Yes,2
Yes,18,12,family issues,6,20,Yes,4
Yes,15,8,relationship stress,5,18,Yes,3
No,12,7,homesickness,8,0,Yes,1
Yes,20,13,financial stress,5,22,No,4
Yes,18,10,academic pressure,6,20,Yes,4
No,14,5,none,9,0,Yes,1
Yes,22,15,health problems,4,28,Yes,5
Yes,16,9,family issues,6,15,No,3
No,20,12,academic pressure,5,0,Yes,4
Yes,18,14,financial stress,5,25,Yes,5
Yes,12,6,relationship stress,7,10,Yes,2
No,15,8,none,8,0,Yes,2
Yes,14,9,homesickness,7,12,Yes,2
Yes,20,12,academic pressure,6,22,No,4
No,18,10,none,7,0,Yes,2
Yes,16,11,financial stress,5,18,Yes,3
Yes,22,14,heavy workload,4,28,Yes,5
No,12,6,homesickness,8,0,Yes,1
Yes,18,13,family issues,5,20,Yes,4
Yes,20,15,health problems,4,25,No,5
No,14,9,academic pressure,7,0,Yes,3
Yes,16,8,financial stress,6,15,Yes,3
Yes,12,7,relationship stress,7,12,Yes,2
No,18,11,none,8,0,Yes,2
Yes,20,14,academic pressure,5,22,Yes,4
Yes,15,9,homesickness,6,18,No,3
No,10,4,none,9,0,Yes,1
Yes,18,12,financial stress,5,20,Yes,4
Yes,22,15,family issues,4,30,Yes,5
No,14,6,academic pressure,7,0,Yes,2
Yes,16,10,relationship stress,6,15,No,3
Yes,20,12,health problems,5,22,Yes,4
No,12,5,none,8,0,Yes,1
Yes,18,11,financial stress,5,20,Yes,4
Yes,15,8,homesickness,7,18,No,3
No,20,14,academic pressure,5,0,Yes,4
Yes,22,16,financial stress,4,28,Yes,5
Yes,18,10,family issues,6,20,No,4
No,16,9,none,7,0,Yes,2
Yes,12,7,relationship stress,7,10,Yes,2
Yes,20,12,academic pressure,6,22,Yes,4
No,14,8,homesickness,8,0,Yes,2
Yes,18,13,financial stress,5,25,Yes,5
Yes,16,11,health problems,5,18,No,4
No,12,6,none,9,0,Yes,1
Yes,22,15,academic pressure,4,30,Yes,5
Yes,20,14,relationship stress,5,25,Yes,4
No,18,10,homesickness,7,0,Yes,2
Yes,14,9,financial stress,6,15,No,3
Yes,16,8,family issues,6,20,Yes,3
No,10,5,none,9,0,Yes,1
Yes,20,12,academic pressure,5,22,Yes,4
Yes,18,13,financial stress,4,25,Yes,5
No,22,16,homesickness,6,0,Yes,3
Yes,15,9,relationship stress,7,18,No,3
Yes,12,7,financial stress,8,10,Yes,2
No,18,12,academic pressure,5,0,Yes,4
Yes,20,14,family issues,6,22,Yes,4
Yes,16,11,health problems,5,20,No,4
No,14,6,none,9,0,Yes,1
Yes,22,15,financial stress,5,28,Yes,5
Yes,18,10,homesickness,6,20,Yes,3
No,20,12,academic pressure,7,0,Yes,4
Yes,16,9,relationship stress,6,15,No,3
Yes,12,6,financial stress,7,12,Yes,2
No,18,8,none,8,0,Yes,2
Yes,20,14,family issues,5,22,Yes,4
Yes,22,16,health problems,4,30,Yes,5
No,14,7,academic pressure,7,0,Yes,3
Yes,18,12,financial stress,5,25,No,4
Yes,16,10,homesickness,6,18,Yes,3
No,12,5,none,9,0,Yes,1
Yes,20,13,relationship stress,5,22,Yes,4
Yes,15,8,financial stress,7,20,Yes,3
No,18,11,academic pressure,6,0,Yes,3
Yes,14,9,family issues,6,15,No,3
Yes,22,15,financial stress,4,28,Yes,5
No,10,4,none,9,0,Yes,1
Yes,20,12,academic pressure,5,22,Yes,4
Yes,18,13,financial stress,5,25,Yes,4
No,16,9,homesickness,7,0,Yes,2
Yes,12,6,relationship stress,7,12,Yes,2
Yes,22,14,financial stress,5,30,No,5
No,14,8,academic pressure,6,0,Yes,2
Yes,20,15,family issues,5,25,Yes,5
Yes,18,10,homesickness,7,20,Yes,3
No,12,7,none,8,0,Yes,1
Yes,16,11,relationship stress,6,18,Yes,3
Yes,20,14,financial stress,5,22,No,4
No,18,12,academic pressure,5,0,Yes,4
Yes,22,16,health problems,4,28,Yes,5
Yes,15,9,financial stress,6,20,Yes,3
No,14,6,homesickness,7,0,Yes,2
Yes,18,13,relationship stress,5,25,No,4
Yes,16,10,academic pressure,6,20,Yes,4
No,20,14,none,8,0,Yes,2
Yes,12,7,financial stress,7,12,Yes,2
Yes,22,15,family issues,5,30,Yes,5
No,18,11,academic pressure,6,0,Yes,3
Yes,20,12,health problems,5,22,No,4
Yes,14,9,financial stress,6,18,Yes,3
No,10,4,none,9,0,Yes,1
Yes,16,8,homesickness,7,15,Yes,2
Yes,22,14,financial stress,5,28,Yes,5
No,18,10,academic pressure,6,0,Yes,3
Yes,20,15,family issues,4,25,No,5
Yes,16,11,relationship stress,6,20,Yes,4
No,12,6,none,9,0,Yes,1
Yes,18,12,financial stress,5,22,Yes,4
Yes,20,13,homesickness,6,25,No,4
No,14,7,academic pressure,8,0,Yes,2
Yes,22,16,financial stress,4,30,Yes,5
Yes,15,9,relationship stress,7,18,Yes,3
No,12,5,homesickness,8,0,Yes,1
Yes,20,14,family issues,5,22,Yes,4
Yes,18,11,financial stress,6,20,No,3
No,16,8,none,7,0,Yes,2
Yes,22,15,academic pressure,5,28,Yes,5
Yes,14,6,financial stress,7,12,Yes,2
No,18,12,homesickness,8,0,Yes,2
Yes,20,13,relationship stress,5,22,No,4
Yes,16,10,financial stress,6,18,Yes,3
No,12,7,none,9,0,Yes,1
Yes,22,14,family issues,5,25,Yes,5
Yes,20,12,health problems,4,22,No,4
No,18,9,academic pressure,6,0,Yes,3
Yes,14,8,financial stress,6,15,Yes,3
Yes,16,11,relationship stress,7,20,Yes,4
No,10,5,homesickness,9,0,Yes,1
